movieId,title,genres
55080,"Brave One, The (2007)",Crime|Drama|Thriller
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
69122,"Hangover, The (2009)",Comedy|Crime
55269,"Darjeeling Limited, The (2007)",Adventure|Comedy|Drama
2961,"Story of Us, The (1999)",Comedy|Drama
93008,"Very Potter Sequel, A (2010)",Comedy|Musical
73431,"Maiden Heist, The (2009)",Comedy|Crime
49822,"Good Shepherd, The (2006)",Drama|Thriller
1083,"Great Race, The (1965)",Comedy|Musical
3678,"Man with the Golden Arm, The (1955)",Drama
77427,"Human Centipede, The (First Sequence) (2009)",Horror
4467,"Adventures of Baron Munchausen, The (1988)",Adventure|Comedy|Fantasy
33903,"Edukators, The (Die Fetten Jahre sind vorbei) (2004)",Comedy|Crime|Drama|Romance
42002,"Producers, The (2005)",Comedy|Musical
