userId,movieId,tag,timestamp
62,3578,imdb top 250,1528152498
474,7834,Nick and Nora Charles,1137200666
573,4015,bad,1186589039
474,1381,high school,1137374154
474,1197,six-fingered man,1137202999
477,56174,Post apocalyptic,1262795695
474,2391,heist,1138032185
62,104863,zoe kazan,1528843965
477,42422,love,1252377761
567,4144,Unique,1525283560
474,5451,mental illness,1137375287
474,7217,amnesia,1137521621
474,912,start of a beautiful friendship,1137202319
474,1212,Venice,1143683500
474,30812,biopic,1138038949
474,912,start of a beautiful friendship,1137202319
